Borough,District,Building Code,DBN,School Name,SchoolFood Code,Breakfast Before Bell ADP             FY18,Breakfast Before Bell ADP             FY19,"Breakfast In Classroom ADP (where available - see ""Key"" tab)           FY18","Breakfast In Classroom ADP (where available - see ""Key"" tab)           FY19",Breakfast Before Bell (Y = breakfast before bell in Any Part of DBN)          FY18,Breakfast Before Bell (Y = breakfast before bell in Any Part of DBN)           FY19,Breakfast In Classroom Offered (Y = BIC in Any Part of DBN)                      FY18,Breakfast In Classroom Offered (Y = BIC in Any Part of DBN)                      FY19,Grab & Go Offered (Y = G&G in Any Part of DBN)                       FY18,Grab & Go Offered (Y = G&G in Any Part of DBN)                       FY19,Lunches ADP            FY18,Lunches ADP            FY19,Salad bar  (Y = Salad Bar offered in building)                 FY18,Salad bar  (Y = Salad Bar offered in building)                 FY19,Snacks ADP            FY18,Snacks ADP            FY19,Suppers ADP            FY18,Suppers ADP            FY19
M,1,M015,01M015,P.S. 015 Roberto Clemente,1015,92,75,,,true,true,,,,,145,133,true,true,,60,35,45
M,1,M019,01M019,P.S. 019 Asher Levy,1019,84,77,,,true,true,,true,,true,179,175,true,true,,,,
M,1,M020,01M020,P.S. 020 Anna Silver,1020,198,183,,,true,true,true,true,true,true,314,307,true,true,155,140,179,139
M,1,M025,01M509,Marta Valle High School,1025,15,13,,,true,true,,,,,43,34,true,true,71,71,67,58
M,1,M034,01M034,P.S. 034 Franklin D. Roosevelt,1034,111,93,,,true,true,,,,,226,206,true,true,,,66,26
M,1,M060,01M450,East Side Community School,1060,38,42,,,true,true,,,,,90,98,true,true,124,127,37,23
M,1,M061,01M361,The Children's Workshop School,1061,31,27,,,true,true,,,,,124,149,true,true,,,,
M,1,M063,01M063,The STAR Academy - P.S.63,1063,103,108,,,true,true,true,true,true,true,161,168,true,true,12,26,124,74
M,1,M064,01M064,P.S. 064 Robert Simon,1064,68,50,,,true,,,,,,151,139,true,true,66,72,112,90
M,1,M056,84M080,Manhattan Charter School II,1080,37,36,,,true,true,,,,,147,128,true,,26,,39,42
M,1,M061,75M094,P.S. M094 @ Children's Workshop Sch,1094,60,52,,,true,,,,,,61,55,true,true,,,,
M,1,M110,01M110,P.S. 110 Florence Nightingale,1110,53,53,,,true,true,true,true,true,true,232,227,true,true,,,,65
M,1,M134,01M134,P.S. 134 Henrietta Szold,1134,151,164,,,true,true,true,true,true,true,226,236,true,true,156,163,140,63
M,1,M140,01M140,P.S. 140 Nathan Straus,1140,74,43,,,true,true,,true,,true,252,233,true,true,7,,119,104
M,1,M142,01M142,P.S. 142 Amalia Castro,1142,213,152,,,true,true,,,,,269,256,true,true,188,180,188,32
M,1,M063,01M363,Neighborhood School,1163,80,103,,,true,true,true,true,,true,109,120,true,true,,,,
M,1,M064,01M364,Earth School,1164,23,26,,,true,true,,,,,161,179,true,true,,52,,
M,1,M137,01M184,P.S. 184m Shuang Wen,1184,114,99,,,true,true,true,true,true,true,445,483,true,true,88,91,66,47
M,1,M188,01M188,P.S. 188 The Island School,1188,199,216,,,true,true,,,,,283,272,true,true,23,22,155,76
M,1,MAUD,84M202,Great Oaks Charter School,1202,63,71,,,true,true,,,,,143,165,true,true,,,,
M,1,M056,01M292,ORCHARD COLLEGIATE ACADEMY,1292,2,2,,,true,true,,,,,41,48,true,,,,,
M,1,M019,01M301,ERROR: #N/A,1301,33,,,,true,,,,,,54,,true,true,39,,,
M,1,M060,84M330,Girls Preparatory Charter School of New York,1330,87,94,,,true,true,,,,,126,138,true,true,213,95,,
M,1,M025,01M378,School For Global Leaders,1378,62,54,,,true,true,,,,,179,155,true,true,25,28,,19
M,1,MACE,01N478,Connelly Ctr Education/Holy Child Middle School,1478,14,18,,,true,true,,,,,61,53,,,37,37,,
M,1,M061,01M315,The East Village Community School,1488,40,42,,,true,true,,,,,106,98,true,true,,37,,
M,1,M446,01M448,University Neighborhood High School,1518,57,66,,,true,true,,,,,191,190,true,true,,199,,
M,1,M445,02M294,Essex Street Academy,1529,22,23,,,true,true,,,true,,43,44,,true,,29,15,
M,1,M445,02M545,High School for Dual Language and Asian Studies,1545,109,98,,,true,true,,,,,227,228,,true,,,,
M,1,M025,01M515,Lower East Side Preparatory High Sch,1585,191,151,,,true,true,,,,,158,137,true,true,135,123,,
M,1,M097,01M696,Bard High School Early College,1586,92,88,,,true,true,,,,,150,164,true,true,,,,
M,1,M445,02M305,"Urban Assembly Academy of Government and Law, The",1605,9,9,,,true,true,,,,,46,52,,true,86,80,,
M,1,M445,02M308,Lower Manhattan Arts Academy,1608,35,30,,,true,true,,,true,,67,65,,true,65,50,11,
M,1,M056,01M332,University Neighborhood Middle School,1632,25,19,,,true,true,,,,,87,80,true,,41,,,38
M,1,M142,01M700,Educational Alliance Headstart @ PS 142,1642,32,29,,,true,,,,,,31,31,true,true,,,,
M,1,M445,02M543,New Design High School,1643,60,62,,,true,true,,,true,true,68,73,,true,,,,
M,1,M022,01M539,"New Explorations into Science, Technology and Math High School",1650,171,181,,,true,true,,,,,607,642,true,true,17,28,,
M,1,M064,01M064,Educational Alliance Headstart @ PS 064,1664,22,24,,,true,,,,,,22,24,true,true,,,,
M,1,M015,75M094,P.S. M094 @ 15,1694,44,44,,,true,,,,,,44,44,true,true,,,,
M,1,M064,01M839,Tompkins Square Middle School,1839,30,29,,,true,true,,,,,112,132,true,true,,,88,105
M,1,M807,02M586,Harvey Milk High School,1843,20,15,,,true,true,,,,,50,46,true,,,,,
